time,x,y,z,temp,hr,ss
9174.984375,-21.0,-61.0,6.0,32.09,72.85,W
9175.984375,-21.0,-62.0,5.0,32.11,73.33,W
9176.984375,-22.0,-61.0,6.0,32.09,73.82,W
9177.984375,-21.0,-62.0,5.0,32.11,74.22,W
9178.984375,-21.0,-61.0,5.0,32.09,74.53,W
9179.984375,-22.0,-62.0,4.0,32.11,74.83,W
9180.984375,-23.0,-61.0,4.0,32.11,75.07,W
9181.984375,-22.0,-61.0,4.0,32.11,75.3,W
9182.984375,-20.0,-61.0,5.0,32.09,75.53,W
9183.984375,-22.0,-61.0,4.0,32.09,75.73,W
9184.984375,-19.0,-62.0,4.0,32.11,75.92,W
9185.984375,-9.0,-57.0,2.0,32.11,76.1,W
9186.984375,-18.0,-62.0,-7.0,32.09,76.27,W
9187.984375,-17.0,-62.0,-3.0,32.09,76.42,W
9188.984375,-5.0,-65.0,-4.0,32.11,76.62,W
9189.984375,-12.0,-63.0,-4.0,32.11,76.83,W
9190.984375,-12.0,-63.0,-1.0,32.09,77.12,W
9191.984375,-10.0,-64.0,-4.0,32.09,77.38,W
9192.984375,-18.0,-64.0,-5.0,32.11,77.63,W
9193.984375,-18.0,-62.0,-3.0,32.09,77.9,W
9194.984375,-11.0,-63.0,4.0,32.09,78.17,W
9195.984375,-13.0,-64.0,-4.0,32.09,78.48,W
9196.984375,-13.0,-63.0,-4.0,32.11,78.72,W
9197.984375,-14.0,-63.0,-5.0,32.09,79.03,W
9198.984375,-14.0,-64.0,-6.0,32.09,79.35,W
9199.984375,-12.0,-64.0,-4.0,32.09,79.65,W
9200.984375,-18.0,-63.0,-1.0,32.09,79.97,W
9201.984375,-13.0,-63.0,-2.0,32.09,80.25,W
9202.984375,-17.0,-63.0,-2.0,32.07,80.5,W
9203.984375,-17.0,-63.0,-1.0,32.07,80.75,W
9204.984375,-16.0,-63.0,-1.0,32.07,80.98,W
9205.984375,-16.0,-63.0,-2.0,32.09,81.17,W
9206.984375,-16.0,-63.0,-2.0,32.07,81.32,W
9207.984375,-20.0,-64.0,-4.0,32.07,81.48,W
9208.984375,-18.0,-63.0,-1.0,32.09,81.62,W
9209.984375,-20.0,-63.0,-1.0,32.09,81.73,W
9210.984375,-18.0,-63.0,1.0,32.09,81.88,W
9211.984375,-19.0,-62.0,2.0,32.09,82.03,W
9212.984375,-19.0,-63.0,1.0,32.07,82.23,W
9213.984375,-21.0,-63.0,0.0,32.07,82.58,W
9214.984375,-22.0,-61.0,4.0,32.09,82.87,W
9215.984375,-20.0,-62.0,0.0,32.09,83.12,W
9216.984375,-17.0,-63.0,-2.0,32.07,83.32,W
9217.984375,-21.0,-62.0,3.0,32.09,83.52,W
9218.984375,-19.0,-63.0,4.0,32.09,83.72,W
9219.984375,-20.0,-62.0,0.0,32.09,83.93,W
9220.984375,-21.0,-62.0,1.0,32.07,84.07,W
9221.984375,-20.0,-62.0,4.0,32.09,84.32,W
9222.984375,-19.0,-62.0,3.0,32.11,84.55,W
9223.984375,-23.0,-62.0,2.0,32.07,84.75,W
9224.984375,-21.0,-62.0,4.0,32.07,84.98,W
9225.984375,-21.0,-62.0,5.0,32.11,85.05,W
9226.984375,-20.0,-62.0,5.0,32.07,85.0,W
9227.984375,-18.0,-62.0,3.0,32.09,84.95,W
9228.984375,-19.0,-62.0,4.0,32.09,84.87,W
9229.984375,-19.0,-62.0,4.0,32.09,84.82,W
9230.984375,-19.0,-62.0,6.0,32.09,84.7,W
9231.984375,-20.0,-62.0,4.0,32.07,84.4,W
9232.984375,-18.0,-62.0,6.0,32.09,84.12,W
9233.984375,-19.0,-62.0,4.0,32.11,83.72,W
9234.984375,-18.0,-63.0,7.0,32.09,83.35,W
9235.984375,-19.0,-62.0,4.0,32.09,83.02,W
9236.984375,-18.0,-62.0,6.0,32.09,82.7,W
9237.984375,-19.0,-62.0,6.0,32.11,82.48,W
9238.984375,-19.0,-62.0,4.0,32.11,82.35,W
9239.984375,-19.0,-62.0,5.0,32.09,82.23,W
9240.984375,-19.0,-62.0,5.0,32.11,82.17,W
9241.984375,-19.0,-62.0,7.0,32.11,82.03,W
9242.984375,-19.0,-62.0,7.0,32.09,81.87,W
9243.984375,-19.0,-62.0,6.0,32.11,81.82,W
9244.984375,-21.0,-62.0,5.0,32.09,81.75,W
9245.984375,-20.0,-62.0,5.0,32.11,81.67,W
9246.984375,-20.0,-62.0,5.0,32.13,81.6,W
9247.984375,-20.0,-62.0,5.0,32.11,81.48,W
9248.984375,-19.0,-62.0,6.0,32.11,81.28,W
9249.984375,-20.0,-62.0,5.0,32.11,81.1,W
9250.984375,-18.0,-62.0,7.0,32.13,81.02,W
9251.984375,-21.0,-62.0,5.0,32.13,81.08,W
9252.984375,-19.0,-62.0,6.0,32.13,81.22,W
9253.984375,-20.0,-62.0,4.0,32.09,81.3,W
9254.984375,-18.0,-62.0,8.0,32.13,81.38,W
9255.984375,-19.0,-62.0,5.0,32.13,81.42,W
9256.984375,-20.0,-62.0,6.0,32.13,81.57,W
9257.984375,-20.0,-62.0,7.0,32.15,81.65,W
9258.984375,-20.0,-62.0,6.0,32.15,81.75,W
9259.984375,-20.0,-62.0,7.0,32.15,81.83,W
9260.984375,-19.0,-62.0,5.0,32.16,81.93,W
9261.984375,-19.0,-62.0,7.0,32.16,82.03,W
9262.984375,-20.0,-62.0,6.0,32.15,82.18,W
9263.984375,-20.0,-62.0,7.0,32.18,82.28,W
9264.984375,-18.0,-62.0,8.0,32.18,82.37,W
9265.984375,-20.0,-61.0,7.0,32.16,82.45,W
9266.984375,-20.0,-62.0,3.0,32.16,82.43,W
9267.984375,-19.0,-62.0,6.0,32.16,82.45,W
9268.984375,-19.0,-63.0,4.0,32.15,82.47,W
9269.984375,-19.0,-62.0,8.0,32.16,82.38,W
9270.984375,-18.0,-62.0,8.0,32.18,82.33,W
9271.984375,-19.0,-62.0,9.0,32.18,82.27,W
9272.984375,-19.0,-62.0,4.0,32.18,82.18,W
9273.984375,-20.0,-62.0,7.0,32.18,82.07,W
9274.984375,-19.0,-62.0,6.0,32.18,82.07,W
9275.984375,-18.0,-62.0,8.0,32.21,82.28,W
9276.984375,-16.0,-62.0,10.0,32.18,82.37,W
9277.984375,-18.0,-62.0,6.0,32.21,82.45,W
9278.984375,-18.0,-62.0,8.0,32.21,82.5,W
9279.984375,-19.0,-62.0,9.0,32.25,82.53,W
9280.984375,-18.0,-63.0,5.0,32.21,82.58,W
9281.984375,-18.0,-62.0,8.0,32.21,82.58,W
9282.984375,-19.0,-62.0,8.0,32.23,82.6,W
9283.984375,-18.0,-63.0,6.0,32.21,82.63,W
9284.984375,-19.0,-63.0,5.0,32.23,82.65,W
9285.984375,-19.0,-62.0,5.0,32.23,82.73,W
9286.984375,-18.0,-62.0,8.0,32.23,82.9,W
9287.984375,-18.0,-62.0,7.0,32.23,83.05,W
9288.984375,-19.0,-62.0,7.0,32.25,83.27,W
9289.984375,-19.0,-62.0,7.0,32.27,83.47,W
9290.984375,-19.0,-62.0,8.0,32.25,83.68,W
9291.984375,-19.0,-62.0,8.0,32.27,83.88,W
9292.984375,-19.0,-62.0,8.0,32.25,84.1,W
9293.984375,-19.0,-62.0,8.0,32.27,84.42,W
9294.984375,-20.0,-62.0,6.0,32.25,84.75,W
9295.984375,-21.0,-62.0,5.0,32.27,85.05,W
9296.984375,-19.0,-62.0,6.0,32.27,85.3,W
9297.984375,-20.0,-62.0,6.0,32.29,85.57,W
